Dr.Geetha Dayalan 1
(8_ DBMS), (4_ DBMS), 0, 0, 0, (4_ DBMS), (0_ DBMS), (4_ DBMS), 0
0, 0, 0, (8_ DBMS), (8_ DBMS), (0_ DBMS), (4_ DBMS), 0, 0
(4_ DBMS), 0, 1, 1, 1, 1, 1, 0, 0
(0_ DBMS), 0, (8_ DBMS), 0, 0, 0, (8_ DBMS), (8_ DBMS), 0
1, 1, 1, 1, (0_ DBMS), (0_ DBMS), (0_ DBMS), (4_ DBMS), 0
Prof.Niveditha Kasturi 2
0, 0, 0, 0, 0, (5_ DBMS), 0, 0, 0
0, 0, 0, (0_ DBMS_LAB0), (0_ DBMS_LAB1), (5_ DBMS), 0, 0, 0
0, (3_ DBMS_LAB0), (3_ DBMS_LAB1), 0, 0, 0, 0, 0, 0
(5_ DBMS), (7_ DBMS_LAB0), (7_ DBMS_LAB1), 0, 0, 0, (5_ DBMS), (5_ DBMS), 0
0, 0, 0, (8_ DBMS_LAB0), (8_ DBMS_LAB1), (5_ DBMS), 0, 0, 0
Dr.Mannar Mannan 3
(6_ DBMS), (7_ DBMS), (7_ DBMS), 0, (7_ DBMS), (2_ DBMS), (6_ DBMS), (7_ DBMS), 0
0, 0, 0, (2_ DBMS_LAB0), (2_ DBMS_LAB1), (6_ DBMS), (2_ DBMS), (7_ DBMS), 0
(2_ DBMS), (2_ DBMS), (2_ DBMS), 0, 0, 0, 0, 0, 0
(7_ DBMS), 0, (6_ DBMS), 0, 0, 0, (2_ DBMS), 0, 0
0, 0, 0, (6_ DBMS_LAB0), (6_ DBMS_LAB1), (6_ DBMS), (6_ DBMS), 0, 0
Prof.Smrithi 4
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
Prof.Shilpa S 5
(9_ DBMS), 0, 0, (1_ DBMS), (1_ DBMS), (9_ DBMS), (9_ DBMS), (9_ DBMS), 0
0, 0, 0, (3_ DBMS), (3_ DBMS), (9_ DBMS), (1_ DBMS), 0, 0
(3_ DBMS), (4_ DBMS_LAB0), (4_ DBMS_LAB1), 0, 0, 0, 0, 0, 0
(1_ DBMS), (1_ DBMS), (1_ DBMS), 0, 0, 0, (3_ DBMS), 0, 0
0, 0, 0, (3_ DBMS), (3_ DBMS), (9_ DBMS), 0, 0, 0
Prof.Umme Hanni 6
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, (5_ DBMS_LAB0), (5_ DBMS_LAB1), 0, 0, 0, 0
0, (1_ DBMS_LAB0), (1_ DBMS_LAB1), 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, (9_ DBMS_LAB0), (9_ DBMS_LAB1), 0, 0, 0, 0
Dr.Arti Arya 7
(2_ MI), (8_ MI), (8_ MI), (2_ MI), (6_ MI), (6_ MI), (2_ MI), 0, 0
1, 1, 1, 1, (6_ MI), (8_ MI), (8_ MI), (2_ MI), 0
(6_ MI), (8_ MI_LAB0), (8_ MI_LAB1), 0, 0, 0, 0, 0, 0
(8_ MI), (6_ MI), 1, 1, 1, 1, 1, (2_ MI), 0
0, 0, 0, (4_ MI_LAB0), (4_ MI_LAB1), (2_ MI), (8_ MI), (6_ MI), 0
Dr.Pooja Agarwal 8
0, 0, 0, 0, 0, 0, (5_ MI), 0, 0
0, 0, 0, 0, 0, 0, 0, (5_ MI), 0
(5_ MI), (9_ MI_LAB0), (9_ MI_LAB1), 0, 0, 0, 0, 0, 0
0, 0, (5_ MI), 0, 0, 0, (1_ MI_LAB0), (1_ MI_LAB1), 0
0, 0, 0, (5_ MI), (5_ MI), 0, 0, 0, 0
Dr.Alpha Vijayan 9
(0_ MI), (9_ MI), (9_ MI), (9_ MI), 0, 0, (4_ MI), (0_ MI), 0
0, 0, 0, (4_ MI), (4_ MI), 0, (9_ MI), 0, 0
(9_ MI), (0_ MI), (0_ MI), 0, 0, 0, 0, 0, 0
(4_ MI), (9_ MI), (0_ MI), 0, 0, 0, (4_ MI), 0, 0
0, 0, 0, (0_ MI), 0, (4_ MI), 0, 0, 0
Dr.Prema 10
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, (5_ MI_LAB0), (5_ MI_LAB1), 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, (0_ MI_LAB0), (0_ MI_LAB1), 0
0, 0, 0, 0, 0, 0, 0, 0, 0
Prof.Kokila 11
(7_ MI), 0, (1_ MI), (3_ MI), (3_ MI), (3_ MI), (1_ MI), (3_ MI), 0
0, 0, 0, (7_ MI), (7_ MI), (1_ MI), (7_ MI), 0, 0
(1_ MI), (6_ MI_LAB0), (6_ MI_LAB1), 0, 0, 0, 0, 0, 0
(3_ MI), (2_ MI_LAB0), (2_ MI_LAB1), 0, 0, 0, (7_ MI), 0, 0
0, 0, 0, (7_ MI), (1_ MI), (1_ MI), 0, (3_ MI), 0
Dr.Charu Kathuria 12
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, (7_ MI_LAB0), (7_ MI_LAB1), 0, 0, 0, 0, 0, 0
0, (3_ MI_LAB0), (3_ MI_LAB1), 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
Prof.Sheela Devi 13
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
Dr.Sudeepa Roy Dey 14
(4_ SE), (6_ SE), 0, (4_ SE), (8_ SE), (8_ SE), (8_ SE), 0, 0
0, 0, 0, (6_ SE), 0, (4_ SE), (6_ SE), (4_ SE), 0
(8_ SE), 0, 1, 1, 1, 1, 1, 0, 0
(6_ SE), 0, (4_ SE), 0, 0, 0, (6_ SE), (6_ SE), 0
1, 1, 1, 1, 0, (8_ SE), (4_ SE), (8_ SE), 0
Prof.Animesh Giri 15
(3_ SE), (2_ SE), (0_ SE), (0_ SE), (2_ SE), (0_ SE), (3_ SE), 0, 0
1, 1, 1, 1, 0, (3_ SE), (0_ SE), (0_ SE), 0
(0_ SE), 0, 0, 0, 0, 0, 0, 0, 0
(2_ SE), 0, 1, 1, 1, 1, 1, (3_ SE), 0
0, 0, 0, (2_ SE), (2_ SE), (3_ SE), (3_ SE), (2_ SE), 0
Prof.Rohith Vaidya 16
(1_ SE), 0, 0, 0, 0, (1_ SE), 0, (1_ SE), 0
0, 0, 0, (1_ SE), (1_ SE), 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, (1_ SE), 0, 0, 0, 0, 0
Prof.Divya Ebenezer 17
(5_ SE), 0, (5_ SE), (5_ SE), 0, (7_ SE), (7_ SE), (5_ SE), 0
0, 0, 0, (9_ SE), (9_ SE), (7_ SE), (5_ SE), (9_ SE), 0
(7_ SE), 0, 0, 0, 0, 0, 0, 0, 0
(9_ SE), (5_ SE), (9_ SE), 0, 0, 0, (9_ SE), 0, 0
0, 0, 0, 0, (7_ SE), (7_ SE), 0, 0, 0
