Dr.Geetha Dayalan 1
(4_ DBMS), 0, (1_ DBMS), 0, (1_ DBMS), (0_ DBMS), (4_ DBMS), (1_ DBMS), 0
0, 0, 0, (2_ DBMS_LAB0), (2_ DBMS_LAB1), (4_ DBMS), 0, (4_ DBMS), 0
(0_ DBMS), (1_ DBMS), 1, 1, 1, 1, 1, 0, 0
(1_ DBMS), (0_ DBMS), (0_ DBMS), 0, 0, 0, (0_ DBMS), (4_ DBMS), 0
1, 1, 1, 1, (1_ DBMS), (4_ DBMS), 0, (0_ DBMS), 0
Prof.Niveditha Kasturi 2
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, (1_ DBMS_LAB0), (1_ DBMS_LAB1), 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, (4_ DBMS_LAB0), (4_ DBMS_LAB1), 0, 0, 0, 0
Dr.Mannar Mannan 3
(2_ DBMS), (3_ DBMS), 0, 0, 0, (2_ DBMS), 0, (3_ DBMS), 0
0, 0, 0, (3_ DBMS), (3_ DBMS), 0, 0, (2_ DBMS), 0
(3_ DBMS), (0_ DBMS_LAB0), (0_ DBMS_LAB1), 0, 0, 0, 0, 0, 0
0, 0, (2_ DBMS), 0, 0, 0, (2_ DBMS), 0, 0
0, 0, 0, (3_ DBMS_LAB0), (3_ DBMS_LAB1), (3_ DBMS), 0, (2_ DBMS), 0
Prof.Smrithi 4
(5_ DSA), 0, (8_ DSA), 0, 0, 0, (6_ DSA_LAB0), (6_ DSA_LAB1), 0
0, 0, 0, (5_ DSA), (5_ DSA), (5_ DSA), (8_ DSA), 0, 0
(8_ DSA), (8_ DSA), (8_ DSA), 0, 0, 0, 0, 0, 0
0, (5_ DSA_LAB0), (5_ DSA_LAB1), 0, 0, 0, (5_ DSA), 0, 0
0, 0, 0, 0, 0, (5_ DSA), (8_ DSA), 0, 0
Prof.Shilpa S 5
0, (9_ DSA_LAB0), (9_ DSA_LAB1), 0, 0, 0, 0, 0, 0
0, 0, 0, (8_ DSA_LAB0), (8_ DSA_LAB1), 0, 0, 0, 0
